內容,時間,地點,備註,地址,Drive time (min),Estimated cost (per person) (JPY)
波上宮＆波之上海灘,上午,那霸,全日可參拜；授與所（御守）約 09:00–17:00。可以買到可愛的日本小書包御守。最佳拍照點在對面大橋，可拍到懸崖上的本殿與海景。步行可順遊相鄰的「波之上海灘」。,沖縄県那覇市若狭1-25-11,,
釣魚王國｜釣って見つけるぼうけんの国,上午,宇麻流市,營業時間常為10:00–18:00，建議事先電話或官網預約以免額滿。留意兒童救生衣與遮陽。,沖縄県うるま市（施設所在地は現地案内に従う）,,
半潛水式觀光船 Orca,上午,那霸,請於開航前 20–30 分鐘報到，風浪大時可能停航。建議自備暈船藥。,那覇・三重城港旅客待合所（那覇市西3-20 付近）,,
DMM 水族館,上午,豐見市,平日10:00–20:00、週末與旺季可能至21:00，依館方公告為準。推嬰兒車友善。館內冷氣強，備外套。,沖縄県豊見城市豊崎3-35（イーアス沖縄豊崎内）,,
沖繩兒童王國,"上午, 午餐",沖繩市,動物園＋科學館組合；科學館週二公休機率高，依官網為準。園區大，建議租推車或自備娃娃車。,沖縄県沖縄市胡屋5-7-1（沖縄こどもの国）,,
還車與返台｜Flight: OKA → TPE,上午,那霸空港,航班 IT231｜OKA 那霸機場 → TPE 桃園國際機場 T1｜起飛 09:45（日本時間）→ 抵達 10:20（台北時間）｜還車後辦理登機,,,
國際通 / 牧志,"下午, 晚上",那霸,,沖縄県那覇市牧志1丁目〜安里,,
最後購物｜國際通／牧志／Ashibinaa,"下午, 晚上",那霸,國際通商店多為 10:00–22:00，週末可能延長；牧志公設市場晚間較早打烊。國際通與牧志周邊停車不易，建議步行或搭單軌。若改往 Ashibinaa，離市區約 20 分鐘車程，適合採買大件行李。,"國際通：沖縄県那覇市牧志1丁目〜安里
牧志公設市場：沖縄県那覇市松尾2-10-1
Ashibinaa Outlet：沖縄県豊見城市豊崎1-188",,
浦添大公園,下午,浦添市,園區腹地大，直導 C1 駐車場較近兒童遊戲區。坡道多，請穿好走的鞋。夏季注意補水與防曬。,浦添大公園 C1 駐車場（目安：浦添市伊祖周辺）,,
殘波岬 燈塔,下午,讀谷村,登塔需購票，天候不佳時可能關閉。岬邊風大日曬強，注意安全與防曬。,沖縄県中頭郡読谷村宇座1861（残波岬灯台）,,
瀨長島（有海灘、看飛機）,下午,豐見市,階梯多，帶嬰兒車建議走坡道或搭電梯。日落景色佳，假日停車較滿。臨海風大，注意保暖。,沖縄県豊見城市瀬長174-6（瀬長島ウミカジテラス）,,
AEON Rycom（寶可夢中心）,"下午, 晚上",沖繩市,營業多至22:00。寶可夢中心位於5樓，晚間也開。假日車流大，建議傍晚後進場。,沖縄県中頭郡北中城村アワセ土地区画整理事業区域内4街区（AEON MALL Okinawa Rycom）,,
美國村,晚上,北谷町,傍晚看日落最佳。停車分散於各區，假日車位吃緊。餐廳尖峰時段需候位。,沖縄県中頭郡北谷町美浜（アメリカンビレッジ）,,
Ashibinaa 購物中心（小火車）,晚上,豐見市,多數店鋪10:00–20:00，部分至21:00。可索取免稅與折價券。臨時加購行李箱可於館內寄送服務詢問處處理。,沖縄県豊見城市豊崎1-188（沖縄アウトレットモール あしびなー）,,
Flight: TPE → OKA,晚上,那霸空港,航班 IT232｜TPE 桃園國際機場 T1 → OKA 那霸機場｜起飛 18:20（台北時間）→ 抵達 20:40（日本時間）｜抵達後取車,,,
Riverside Chibana リバーサイド知花,住宿,沖繩市・知花,"Riverside Chibana 訂房摘要（重整）
- 地址／電話：沖縄県沖縄市知花3丁目19番20号，日本｜+81 50-1721-0751（電話支援至 24:00）
- 入住前一天～當天寄送入室方式與代碼；到現場一樓以平板輸入「入住代碼＋基本資料」完成
- 其他：無櫃檯、無行李寄放、無清掃（可用室內洗衣機）",沖縄県沖縄市知花3丁目19番20号，日本,,
Residential Hotel Naha,住宿,那霸,"無電梯。無附設停車，請使用附近投幣停車。完成旅客資訊表後，入住日前一天會寄送自助入住方式。可於當日 11:00 後將行李放置於房內。入住時段 15:00–16:00 已獲同意。最近站：美榮橋，步行約 3 分鐘。計程車約 15 分鐘，約 1,500 日圓。Map code：33 157 818＊06。","2-24-15 Kumoji, Naha City, Okinawa 900-0015",,
LACER OKINAWA NAHA Miebashi 美榮橋,住宿,那霸,無人飯店，無前台；須完成事前線上入住，入住日前 1–3 天提供入口密碼與入住方式；不提供入住前與退房後行李寄放；無附設停車，請使用周邊投幣停車；住宿期間不提供每日清潔；如遇惡劣天候，露臺桑拿停用；聯絡電話：03-6910-2907。,〒900-0016 沖縄県那覇市前島3-7-7,,
